PuV  3.0E-4M in ???
644.86639400  0.00090040
645.68060300  0.00091410
646.49475100  0.00091710
647.30896000  0.00087870
648.12310790  0.00087390
648.93731690  0.00089910
649.75152590  0.00081020
650.56567380  0.00078230
651.37988280  0.00074020
652.19403080  0.00077730
653.00823970  0.00073360
653.82238770  0.00080430
654.63659670  0.00090710
655.45074460  0.00094250
656.26495360  0.00102740
657.07916260  0.00114330
657.89331050  0.00111240
658.70751950  0.00114800
659.52166750  0.00109450
660.33587650  0.00093230
661.15002440  0.00078490
661.96423340  0.00061160
662.77838130  0.00051430
663.59259030  0.00046250
664.40679930  0.00039810
665.22094730  0.00029550
666.03515630  0.00022930
666.84930420  0.00020950
667.66351320  0.00019260
668.47766110  0.00016570
669.29187010  0.00025040
670.10601810  0.00018680
670.92022710  0.00016240
671.73443600  0.00018390
672.54858400  0.00024850
673.36279300  0.00027510
674.17694090  0.00031300
674.99114990  0.00024400
675.80529790  0.00024310
676.61950680  0.00026010
677.43365480  0.00022870
678.24786380  0.00023310
679.06207280  0.00017500
679.87622070  0.00025220
680.69042970  0.00027440
681.50457760  0.00028030
682.31878660  0.00025170
683.13293460  0.00025750
683.94714360  0.00020790
684.76129150  0.00023300
685.57550050  0.00012970
686.38970950 -0.00001860
687.20385740  0.00000021
688.01806640 -0.00004560
688.83221440  0.00000851
689.64642330  0.00001390
690.46057130 -0.00004300
691.27478030 -0.00001040
692.08892820 -0.00001780
692.90313720 -0.00002130
693.71734620 -0.00003080
694.53149410  0.00000634
695.34570310 -0.00001120
696.15985110  0.00002220
696.97406010  0.00002410
697.78820800  0.00004350
698.60241700  0.00002520
699.41656490  0.00001890
700.23077390  0.00006310
701.04498290  0.00013680
701.85913090  0.00010190
702.67333980  0.00012510
703.48748780  0.00011700
704.30169680  0.00014090
705.11584470  0.00014040
705.93005370  0.00015830
706.74420170  0.00023490
707.55841060  0.00029300
708.37261960  0.00050090
709.18676760  0.00060130
710.00097660  0.00050260
710.81512450  0.00049290
711.62933350  0.00047450
712.44348140  0.00052190
713.25769040  0.00051470
714.07183840  0.00054800
714.88604740  0.00060270
715.70025630  0.00059390
716.51440430  0.00063530
717.32861330  0.00061430
718.14276120  0.00067380
718.95697020  0.00069990
719.77111820  0.00067420
720.58532710  0.00075780
721.39947510  0.00069570
722.21368410  0.00067710
723.02789310  0.00075940
723.84204100  0.00076520
724.65625000  0.00080590
725.47039790  0.00077650
726.28460690  0.00077760
727.09875490  0.00078830
727.91296390  0.00079830
728.72711180  0.00078620
729.54132080  0.00085160
730.35552980  0.00091450
731.16967770  0.00088930
731.98388670  0.00092210
732.79803470  0.00089790
733.61224370  0.00091120
734.42639160  0.00100310
735.24060060  0.00095120
736.05474850  0.00099390
736.86895750  0.00100490
737.68316650  0.00104160
738.49731450  0.00107770
739.31152340  0.00112820
740.12567140  0.00115750
740.93988040  0.00114970
741.75402830  0.00121150
742.56823730  0.00126220
743.38238530  0.00128110
744.19659420  0.00133420
745.01080320  0.00138360
745.82495120  0.00143520
746.63916020  0.00148810
747.45330810  0.00156490
748.26751710  0.00164010
749.08166500  0.00175350
749.89587400  0.00182640
750.71002200  0.00193540
751.52423100  0.00200260
752.33843990  0.00209550
753.15258790  0.00225320
753.96679690  0.00240310
754.78094480  0.00250470
755.59515380  0.00265400
756.40930180  0.00284010
757.22351070  0.00305200
758.03765870  0.00325200
758.85186770  0.00342640
759.66607670  0.00375260
760.48022460  0.00405570
761.29443360  0.00439810
762.10858150  0.00475660
762.92279050  0.00500540
763.73693850  0.00537530
764.55114750  0.00559540
765.36529540  0.00580630
766.17950440  0.00599650
766.99371340  0.00610790
767.80786130  0.00628720
768.62207030  0.00644770
769.43621830  0.00651660
770.25042720  0.00653430
771.06457520  0.00651190
771.87878420  0.00650930
772.69293210  0.00651940
773.50714110  0.00649270
774.32135010  0.00627050
775.13549800  0.00594650
775.94970700  0.00564190
776.76385500  0.00542620
777.57806400  0.00516510
778.39221190  0.00490170
779.20642090  0.00463350
780.02056880  0.00436610
780.83477780  0.00410230
781.64898680  0.00377830
782.46313480  0.00351250
783.27734380  0.00326870
784.09149170  0.00291720
784.90570070  0.00272150
785.71984860  0.00245120
786.53405760  0.00223430
787.34826660  0.00207790
788.16241460  0.00184290
788.97662350  0.00167130
789.79077150  0.00154450
790.60498050  0.00147100
791.41912840  0.00135570
792.23333740  0.00126620
793.04748540  0.00118940
793.86169430  0.00109520
794.67590330  0.00098160
795.49005130  0.00092100
796.30426030  0.00082610
797.11840820  0.00086380
797.93261720  0.00088890
798.74676510  0.00099620
799.56097410  0.00110760
800.37512210  0.00115290
801.18933110  0.00122940
802.00354000  0.00118760
802.81768800  0.00124630
803.63189700  0.00117000
804.44604490  0.00115170
805.26025390  0.00120670
806.07440190  0.00120970
806.88861080  0.00119480
807.70275880  0.00122250
808.51696780  0.00117670
809.33117680  0.00119540
810.14532470  0.00121870
810.95953370  0.00112640
811.77368160  0.00129720
812.58789060  0.00124470
813.40203860  0.00126100
814.21624760  0.00133900
815.03039550  0.00133260
815.84460450  0.00136370
816.65881350  0.00143870
817.47296140  0.00151870
818.28717040  0.00161590
819.10131840  0.00163640
819.91552730  0.00169800
820.72967530  0.00175970
821.54388430  0.00181880
822.35803220  0.00194680
823.17224120  0.00196570
823.98645020  0.00211460
824.80059810  0.00225310
825.61480710  0.00241950
826.42895510  0.00255260
827.24316410  0.00275560
828.05731200  0.00294270
828.87152100  0.00309510
829.68566890  0.00330140
830.49987790  0.00347220
831.31408690  0.00359580
832.12823490  0.00362690
832.94244380  0.00369380
833.75659180  0.00381000
834.57080080  0.00387270
835.38494870  0.00396050
836.19915770  0.00409390
837.01330570  0.00411370
837.82751460  0.00427600
838.64172360  0.00434400
839.45587160  0.00441820
840.27008060  0.00447230
841.08422850  0.00458420
841.89843750  0.00466540
842.71258540  0.00475810
843.52679440  0.00497330
844.34094240  0.00506900
845.15515140  0.00525680
845.96936040  0.00537400
846.78350830  0.00550170
847.59771730  0.00560700
848.41186520  0.00571460
849.22607420  0.00567270
850.04022220  0.00572010
850.85443120  0.00564950
851.66857910  0.00550830
852.48278810  0.00546150
853.29699710  0.00535550
854.11114500  0.00526160
854.92535400  0.00513540
855.73950200  0.00501230
856.55371090  0.00485890
857.36785890  0.00486980
858.18206790  0.00473650
858.99621580  0.00457240
